trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-200.9235274833787,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-197.08473057459022,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-40.10505896878221,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-101.9203310919765,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-157.66374785190283,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-150.18554841119465,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-207.69689250759384,"{0: 13, 1: 4, 2: 2, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-24.8088999665239,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,4,-41.903282390452226,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,18,-14.552001655363336,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,7,-8.699066598404734,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-70.73550253721923,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-153.14615720519495,"{0: 24, 1: 3, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-49.45220428452927,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,4,-8.799851350227168,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-58.08807960165119,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,12,-5.857408930894788,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,20.018262271408943,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-49.8888178346909,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,15,-13.845096715708818,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-14.504754402688603,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-80.85288656020099,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,15,-37.24232428039189,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,9.570312300124286,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,1,-27.31447515705403,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",30,0,-21.63891651784909,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,6,-17.521583232747215,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,13,-38.92488128867805,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-12.512115882176749,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-16.4632182146986,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
