trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.998}",20,0,-166.65547440943783,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.75, 'e': 0.996}",25,0,-229.1429054514448,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
3,False,"{'a': 0.75, 'e': 0.994}",20,0,-125.97460540025821,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.75, 'e': 0.992}",20,0,-102.24770734306932,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.99}",35,0,-172.95003768512927,"{0: 22, 1: 2, 2: 8, 3: 1, 4: 2}",0
6,False,"{'a': 0.75, 'e': 0.988}",30,0,-137.52090890696883,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.75, 'e': 0.986}",20,0,-119.7209777175309,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.75, 'e': 0.984}",30,5,-85.91114510977711,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",1
9,False,"{'a': 0.75, 'e': 0.982}",20,0,-143.52340477999294,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.75, 'e': 0.98}",20,0,-150.02348876401751,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.75, 'e': 0.978}",30,0,-63.96363586589064,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.976}",25,0,-92.09687066224703,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.75, 'e': 0.974}",30,0,-143.03347017128436,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.75, 'e': 0.972}",20,0,-101.98011198386504,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.75, 'e': 0.97}",20,7,1.5394434037091103,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.75, 'e': 0.968}",25,0,-171.8567807880634,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.75, 'e': 0.966}",20,0,-102.19527771564253,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.75, 'e': 0.964}",30,1,-138.81206377171583,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 2}",1
19,False,"{'a': 0.75, 'e': 0.962}",20,0,-110.5718395955769,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.75, 'e': 0.96}",30,0,-132.44951141803472,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.75, 'e': 0.958}",20,2,-72.52523070572254,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
22,False,"{'a': 0.75, 'e': 0.956}",35,0,-183.87674817234694,"{0: 16, 1: 4, 2: 12, 3: 3, 4: 0}",0
23,False,"{'a': 0.75, 'e': 0.954}",20,0,-63.16658685312073,"{0: 12, 1: 5, 2: 1, 3: 2, 4: 0}",0
24,False,"{'a': 0.75, 'e': 0.952}",25,0,-87.64295917507377,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.75, 'e': 0.95}",20,0,-143.14701505633718,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
26,False,"{'a': 0.75, 'e': 0.948}",20,0,-147.8943982524056,"{0: 7, 1: 1, 2: 11, 3: 0, 4: 1}",0
27,False,"{'a': 0.75, 'e': 0.946}",20,0,-129.38072194159756,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
28,False,"{'a': 0.75, 'e': 0.944}",30,0,-119.34312094499815,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
29,False,"{'a': 0.75, 'e': 0.942}",20,0,-19.325387406252425,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.75, 'e': 0.94}",20,0,-80.90925193966297,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.75, 'e': 0.938}",25,0,-73.20347866483466,"{0: 17, 1: 4, 2: 1, 3: 3, 4: 0}",0
32,False,"{'a': 0.75, 'e': 0.9359999999999999}",25,0,-103.09447366511198,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 1}",0
33,False,"{'a': 0.75, 'e': 0.9339999999999999}",25,0,-121.01113359934152,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
34,False,"{'a': 0.75, 'e': 0.9319999999999999}",25,0,-171.55001480240747,"{0: 11, 1: 1, 2: 10, 3: 2, 4: 1}",0
35,False,"{'a': 0.75, 'e': 0.9299999999999999}",25,0,-75.00483800410552,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
36,False,"{'a': 0.75, 'e': 0.9279999999999999}",20,0,-123.93289242469784,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
