trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-4,-188.66678356056246,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-100,-875.4028867883073,"{0: 72, 1: 12, 2: 19, 3: 8, 4: 14}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,-100,-669.5387518797376,"{0: 83, 1: 8, 2: 23, 3: 6, 4: 10}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,3,-102.79568209815481,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,-100,-807.7107241454027,"{0: 64, 1: 14, 2: 22, 3: 10, 4: 10}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,-57,-402.85947517765266,"{0: 51, 1: 6, 2: 22, 3: 5, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-100,-625.387530065564,"{0: 73, 1: 10, 2: 24, 3: 4, 4: 9}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-100,-653.6855217022464,"{0: 68, 1: 10, 2: 28, 3: 7, 4: 7}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,-29,-273.55502177460755,"{0: 29, 1: 6, 2: 14, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-100,-630.1146171190348,"{0: 77, 1: 12, 2: 22, 3: 5, 4: 9}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-100,-559.5377007949904,"{0: 73, 1: 12, 2: 30, 3: 5, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-38,-405.287625010691,"{0: 29, 1: 3, 2: 17, 3: 5, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,-77,-662.2354671224863,"{0: 66, 1: 7, 2: 11, 3: 5, 4: 13}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-100,-483.08004153548796,"{0: 76, 1: 12, 2: 22, 3: 5, 4: 5}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-1,-84.52062280193867,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,-42,-190.59866443600004,"{0: 47, 1: 8, 2: 12, 3: 5, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-487.86227473706776,"{0: 81, 1: 9, 2: 19, 3: 4, 4: 7}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,-100,-674.3894335520351,"{0: 74, 1: 13, 2: 30, 3: 5, 4: 8}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-34,-385.7727234737376,"{0: 34, 1: 2, 2: 15, 3: 2, 4: 6}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-100,-471.34225411056053,"{0: 80, 1: 8, 2: 28, 3: 5, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,-100,-589.8665860161896,"{0: 82, 1: 9, 2: 33, 3: 5, 4: 6}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-84,-658.7785513376197,"{0: 63, 1: 9, 2: 23, 3: 4, 4: 10}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,-100,-672.9473661948053,"{0: 74, 1: 15, 2: 21, 3: 5, 4: 10}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,-7,-187.2447878494195,"{0: 15, 1: 5, 2: 7, 3: 4, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-88,-400.67181826547295,"{0: 70, 1: 13, 2: 23, 3: 3, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-54,-329.5272901428425,"{0: 55, 1: 5, 2: 10, 3: 4, 4: 5}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,-100,-539.6797752346744,"{0: 85, 1: 4, 2: 27, 3: 9, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,-100,-657.6243396776933,"{0: 81, 1: 8, 2: 26, 3: 6, 4: 9}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,6,-50.7343493498706,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,-100,-797.2618852700706,"{0: 68, 1: 12, 2: 29, 3: 5, 4: 11}",0
